"Name","GUID","ProtoFile","CommodityType","AlertType","DefaultConfigState","DefaultComputationSchedule","DefaultTransmission","DependencyRules1","DependencyRules2","DependencyRules3","DependencyRules4","DependencyRules5","DependencyRules6","DependencyRules7"
"BatteryLargeDropCapacityAlert","3ded4cb3-b78b-4d9a-8085-f80a9dc94968","BatteryLargeDropCapacityAlert.proto","Battery","Computed","Enabled","Midnight","","DatatypeType = BatteryStaticData, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = BatteryDynamicData, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,
"BatteryLowRemainingCapacityAlert","3a2ed213-014e-48ae-8c34-d1b8f4e6e834","BatteryLowRemainingCapacityAlert.proto","Battery","Computed","Enabled","Midnight","","DatatypeType = BatteryStaticData, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = BatteryStaticData, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = BatteryDynamicData, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,
"BatteryModuleChangeAlert","cd2c6afd-dcda-432f-9d35-d9dd3193447b","BatteryModuleChangeAlert.proto","Battery","Computed","Enabled","Midnight","","DatatypeType = BatteryStaticData, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,,
"BatteryNotChargingAlert","3ded4cb3-b78b-4d9a-8089-f80a9de90970","BatteryNotChargingAlert.proto","Battery","RealTime","Enabled","","","DatatypeType = BatteryDynamicData, RetrievalOptions = Subscribe, ShouldSubscribe = True","DatatypeType = BatteryDynamicData, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = PowerSourceChangeEvent, RetrievalOptions = Subscribe, ShouldSubscribe = True",,,,
"BatteryPermanentFailureAlert","f5582ff5-b18f-4851-b0e8-4e1e9011a29b","BatteryPermanentFailureAlert.proto","Battery","RealTime","Enabled","","Realtime","DatatypeType = BatteryDynamicData, RetrievalOptions = Subscribe, ShouldSubscribe = True","DatatypeType = BatteryStaticData, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1",,,,,
"BatteryQuickDischargeAlert","3ded4cb3-b78b-4d9a-8089-f80a9de90972","BatteryQuickDischargeAlert.proto","Battery","RealTime","Enabled","","Realtime","DatatypeType = BatteryDynamicData, RetrievalOptions = Subscribe, ShouldSubscribe = True",,,,,,
"BatterySerialNumberChangeAlert","a9788374-b002-4106-802e-c9588e1bedb0","BatterySerialNumberChangeAlert.proto","Battery","Computed","Enabled","Midnight","","DatatypeType = BatteryStaticData, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,,
"BatterySoftFailureAlert","b497e10c-f071-4e13-8012-25562b8c96db","BatterySoftFailureAlert.proto","Battery","RealTime","Enabled","","Realtime","DatatypeType = BatteryDynamicData, RetrievalOptions = Subscribe, ShouldSubscribe = True","DatatypeType = BatteryStaticData, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1",,,,,
"BiosAttributeChangeAlert","2c751b8c-ae88-4630-853d-f34bc3435744","BiosAttributeChangeAlert.proto","BIOS","Computed","Enabled","Midnight","","DatatypeType = BiosAttributes, RetrievalOptions = LastNDays, NeedsHistoricalRetrieval = True, DaysRequested = 7",,,,,,
"BiosIqGenericAlert","10e8fe34-8f7a-4916-a929-38d753ddf85f","BiosIqAlert.proto","BIOS","RealTime","Enabled","","Realtime","DatatypeType = BiosIqGenericEvent, RetrievalOptions = Subscribe, ShouldSubscribe = True",,,,,,
"BiosLedBiosLogAlert","1934928b-eacf-4fec-9b7c-4e12669915eb","BiosLedBiosLogAlert.proto","BIOS","RealTime","Enabled","","Realtime","DatatypeType = BiosLedBiosLog, RetrievalOptions = Subscribe, ShouldSubscribe = True",,,,,,
"BiosVersionChangeAlert","9e9e56e4-b9f0-4c95-b53f-a7a64eba1f68","BiosVersionChangeAlert.proto","BIOS","Computed","Enabled","Midnight","","DatatypeType = BiosInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,,
"BluetoothMacChangeAlert","aee47c87-e4f7-456c-a336-bd909deb8d78","BluetoothMacChangeAlert.proto","Bluetooth","Computed","Enabled","Midnight","","DatatypeType = BluetoothStaticInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,,
"CableStatusChangeAlert","c3e8fcd0-e783-4819-a4be-f3590066fc77","CableStatusChangeAlert.proto","Cable","RealTime","Enabled","","Realtime","DatatypeType = CableInfo, RetrievalOptions = Subscribe, ShouldSubscribe = True",,,,,,
"CameraPnpDeviceErrorAlert","12cc29b5-938f-4b74-bec8-c47703226a58","CameraPnpDeviceErrorAlert.proto","Webcam","Computed","Enabled","Midnight","","DatatypeType = CameraInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,,
"CpuHighActivityAlert","e4e298fa-274d-4d24-82b9-d060240d9bec","CpuHighActivityAlert.proto","Cpu","Computed","Enabled","Midnight","","DatatypeType = BatterySessionAnalysis, RetrievalOptions = LastSampleLastNDays, NeedsHistoricalRetrieval = True, DaysRequested = -1","DatatypeType = CpuAnalysis, RetrievalOptions = LastSampleLastNDays, NeedsHistoricalRetrieval = True, DaysRequested = -1",,,,,
"CpuHighTemperatureAlert","1aef28e9-9018-4869-839e-5bbc24847a5f","CpuHighTemperatureAlert.proto","Thermistor","Computed","Enabled","Midnight","","DatatypeType = BatterySessionAnalysis, RetrievalOptions = LastSampleLastNDays, NeedsHistoricalRetrieval = True, DaysRequested = -1","DatatypeType = ThermalAnalysis, RetrievalOptions = LastSampleLastNDays, NeedsHistoricalRetrieval = True, DaysRequested = -1",,,,,
"DesktopFanFailureAlert","785e1ea3-6728-436d-a440-ae3dee318231","DesktopFanFailureAlert.proto","Fan","Computed","","","","DatatypeType = FanAnalysis, RetrievalOptions = LastSampleLastNDays, NeedsHistoricalRetrieval = True, DaysRequested = -1",,,,,,
"DriverAnomalyAlert","3ded4cb3-b78b-4d9a-8090-f80a9de90973","DriverAnomalyAlert.proto","None","Computed","Enabled","Midnight","","DatatypeType = DriverInfo, RetrievalOptions = LastNDays, NeedsHistoricalRetrieval = True, DaysRequested = 1",,,,,,
"EpsaScanFailureAlert","ab118d05-6c16-4492-99c4-9f47f9dff6c9","EpsaScanFailureAlert.proto","BIOS","RealTime","Enabled","","Realtime","DatatypeType = EpsaLog, RetrievalOptions = Subscribe, ShouldSubscribe = True",,,,,,
"EpsaScanSuccessAlert","5e1d8649-5fe5-497b-9876-3e7aa03485f4","EpsaScanSuccessAlert.proto","BIOS","RealTime","Enabled","","Realtime","DatatypeType = EpsaLog, RetrievalOptions = Subscribe, ShouldSubscribe = True",,,,,,
