"Name","GUID","ProtoFile","CommodityType","DefaultConfigState","DefaultComputationSchedule","DefaultTransmission","DependencyRules1","DependencyRules2","DependencyRules3","DependencyRules4","DependencyRules5","DependencyRules6","DependencyRules7"
"AcSessionAnalysis","99169b96-3a09-43a4-8dee-1e989edf3bdc","AcSessionAnalysis.proto","Power","Enabled","Midnight","","DatatypeType = OsBootInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = OsRestartShutdownInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = ServiceStatus, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = PowerSource, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = PowerSourceChangeEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = PowerPlan, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = PowerPlan, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1"
"AIAcceleratorAnalysis","a7b11a78-c800-410f-bc9e-c45343a14f7e","AIAcceleratorAnalysis.proto","Npu","Enabled","Midnight","","DatatypeType = ProcessInformationSet, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = AIAcceleratorStaticInfo, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1",,,,,
"AmdGraphicsAnalysis","f7dec0ed-0be2-4c81-bbe8-1958aa825fbc","AmdGraphicsAnalysis.proto","Graphics","Enabled","Midnight","","DatatypeType = AmdGraphicDynamicInfo, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,,
"ApplicationAnalysis","0f204b0f-5ae5-4ddb-b5e2-7b1015dfc105","ApplicationAnalysis.proto","SoftwareInventory","","","","DatatypeType = ProcessInformationSet, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = ForegroundApplicationInfo, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = ApplicationCrashEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = ApplicationHangEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = AIAcceleratorStaticInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = EnergyEstimationEngineData, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = EnergyEstimationEngineData, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1"
"AudioDeviceAnalysis","aa1e518c-f7d7-43cf-9302-f784dd12baad","AudioDeviceAnalysis.proto","Multimedia","Enabled","Midnight","","DatatypeType = AudioDeviceInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = AudioDeviceInfo, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = BiosAttributes, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = BiosAttributes, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = BiosLedBiosLog, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = CableInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = CableInfo, RetrievalOptions = Current, NeedsCurrentRetrieval = True, MinimumRequiredSamples = 1"
"AudioJackConnectivityAnalysis","a0260173-8eb4-4311-b4a5-af385a4f27c8","AudioJackConnectivityAnalysis.proto","Sound","Enabled","Midnight","","DatatypeType = OsBootInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = OsRestartShutdownInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = ServiceStatus, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = AudioJackConnectivity, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = AudioJackConnectivityChangeEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True",,
"BatteryAnalysis","11036c82-3669-48c3-80ce-00aad3e121b4","BatteryAnalysis.proto","Battery","Enabled","Midnight","","DatatypeType = BatteryDynamicData, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,,
"BatterySessionAnalysis","8e082520-52c9-4647-b0cb-3cda551cd492","BatterySessionAnalysis.proto","Power","Enabled","Midnight","","DatatypeType = OsBootInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = OsRestartShutdownInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = ServiceStatus, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = PowerSource, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = PowerSourceChangeEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True",,
"BiosIqGenericAnalysis","734f23d1-418a-40c4-8540-cb7e3b3b7787","BiosIqAnalysis.proto","BIOS","Enabled","Midnight","","DatatypeType = BiosIqGenericEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1",,,,,,
"BluetoothDeviceConnectivityAnalysis","b9751425-c7a1-4be9-8f93-eee8c10ef9e6","BluetoothDeviceConnectivityAnalysis.proto","Bluetooth","Enabled","Midnight","","DatatypeType = OsBootInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = OsRestartShutdownInfo, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True","DatatypeType = ServiceStatus, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = BluetoothDeviceConnectivityState, RetrievalOptions = HistoricalPeriodic, NeedsHistoricalRetrieval = True, MinimumRequiredSamples = 1","DatatypeType = BluetoothDeviceConnectivityChangeEvent, RetrievalOptions = HistoricalNonPeriodic, NeedsHistoricalRetrieval = True",,
