"Name","GUID","ProtoFile","CommodityType","DefaultState","CollectionTrigger","Volatility","DefaultCollectionInterval","ShortestCollectionInterval","DefaultConfigState","DefaultCollectionSchedule","DefaultTransmission","Description"
"ActivePenInfo","490a5a44-5a76-4b1f-8bc2-13e1de80b268","ActivePenInfo.proto","Stylus","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 15 min 00 sec","Enabled","Midday","","Active Pen data"
"AIAcceleratorStaticInfo","a175966f-b443-4333-9e4f-a6cc675118fb","AIAcceleratorStaticInfo.proto","Npu","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","AI Accelerator Static Info"
"AmdGraphicDynamicInfo","e37b8113-f5f8-4c7e-9721-75ee3071dd46","AmdGraphicDynamicInfo.proto","DiscreteGraphics","Dormant","Periodic","Volatile","00 d 00 hr 15 min 00 sec","00 d 00 hr 00 min 02 sec","Enabled","","","AMD Graphic Dynamic Information"
"AmdGraphicStaticInfo","ccc64e32-ac76-495d-aa97-cad54013fc9f","AmdGraphicStaticInfo.proto","DiscreteGraphics","Dormant","OnDemandOnly","Nonvolatile","00 d 00 hr 15 min 00 sec","00 d 00 hr 00 min 30 sec","Enabled","Midday","","AMD Graphic Static information"
"AudioDeviceInfo","35615472-4006-4214-b390-8394e812b87e","AudioDeviceInfo.proto","Sound","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Audio device information"
"AudioInputOutputInfo","3976f4da-1e8a-4ea7-908b-5ca4abc10263","AudioInputOutputInfo.proto","Sound","Dormant","OnDemandOnly","Changeable","00 d 00 hr 00 min 15 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Audio Input and Output devices"
"AudioJackConnectivity","2fef6e2a-484c-40e2-b5d6-5eff27699e89","AudioJackConnectivityChangeEvent.proto","Sound","Dormant","Periodic","Changeable","00 d 12 hr 00 min 00 sec","00 d 00 hr 01 min 00 sec","Enabled","","","Audio jack connectivity"
"AudioJackConnectivityChangeEvent","072653b9-522b-4418-abd8-a0a78364ebb3","AudioJackConnectivityChangeEvent.proto","Sound","Dormant","EventBased","Changeable","00 d 00 hr 01 min 00 sec","00 d 00 hr 01 min 00 sec","Enabled","","","Audio jack connectivity change event"
"BatteryAnalyticsData","eabdf61b-1f05-488e-8d75-1bc865cefc14","BatteryAnalyticsData.proto","Battery","Dormant","OnDemandOnly","Changeable","00 d 02 hr 00 min 00 sec","00 d 00 hr 04 min 00 sec","Enabled","Midday","","Battery Analytics Data"
"BatteryDynamicData","9f45e5f6-4599-4494-a0f4-8a710d29ac59","BatteryDynamicData.proto","Battery","Dormant","Periodic","Volatile","00 d 00 hr 15 min 00 sec","00 d 00 hr 00 min 01 sec","Enabled","","","Battery Dynamic Data"
"BatteryStaticData","eefec92c-eed2-4e7a-9711-c39f90d24ad6","BatteryStaticData.proto","Battery","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Battery Static Data"
"BiometricSensorInfo","0cc7963a-c068-4aa2-9fb7-80182a6ee94f","BiometricSensorInfo.proto","BiometricDevice","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","Biometric Sensor"
"BiosAttributes","7f1debcd-c87a-4f0d-b96c-a21fd626f353","BiosAttributes.proto","BIOS","Dormant","OnDemandOnly","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 01 min 00 sec","Enabled","Midday","","Bios Attributes"
"BiosEventData","2fe9b8a8-5a3c-4089-b67f-f72187d41c68","BiosEvent.proto","Event","Dormant","EventBased","Volatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","BIOS event from BIOSEvent WMI"
"ChargerBiosEventInfo","ca335eba-698b-40be-b258-211425180478","BiosEvent.proto","Event","Dormant","EventBased","Volatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","","","Charger-related warning/error information from BIOSEvent"
"BiosInfo","ad845445-7be2-45c6-b3cf-e86a04ddb94d","BiosInfo.proto","BIOS","Dormant","OnDemandOnly","Nonvolatile","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","BIOS"
"BiosIqGenericEvent","16ff3b86-e4bc-4077-b517-290e64a97133","BiosIq.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","OnStartup","","Generic BIOS IQ event"
"BiosIqMmioEcProchotStatus","d9a97584-0836-44f7-be4f-3f996c82c66d","BiosIq.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","Prochot Status from EC MMIO"
"BiosIqMmioEcPlxStatus","a85d0db5-a6b0-4bb8-a952-fb278d76e604","BiosIq.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","Plx Status from EC MMIO"
"BiosIqMmioEcKbBacklight","0fd99c47-cb06-4ec1-bdad-3c50773a085d","BiosIq.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","Keyboard backlight data from EC MMIO"
"BiosIqMmioEcNonDellBattStatus","c2f98bee-43c9-4cbb-836f-f4b5019bb438","BiosIq.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","Non Dell battery status from EC MMIO"
"BiosIqMmioEcBootflags","7d5be20c-c9a9-4163-9416-3b7ba1bc7e52","BiosIq.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","Bootflags from EC MMIO"
"BiosIqMmioEcAcpiWakeupSource","bd9271f7-ef53-4294-9625-2472fbe11746","BiosIq.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","Acpi wakeup source data from EC MMIO"
"BiosIqMmioEcPowerData","1f1aab3e-a8d1-41b7-8db6-713b58dc981e","BiosIq.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","Power data from EC MMIO"
"BiosIqMmioEcRtcData","61ccf28c-6a6d-4840-8d5d-2fe7bd3ecc1d","BiosIq.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","RTC data from EC MMIO"
"BiosIqMmioEcCableOcp","90620dbc-8839-4e8f-8b57-835b86069882","BiosIq.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","Cable OCP data from EC MMIO"
"BiosIqMmioEcGetTypeCTotalPortNum","e9b811da-ed0f-40dc-93b2-af425c2f398d","BiosIq.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","Number of TypeC PD ports from EC MMIO"
"BiosIqMmioEcDellDiagAcId","15d54026-4292-4c61-b318-0d3ba28b5020","BiosIq.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","","","","Adapter data from EC MMIO"
"PowerBiosLog","3825e6fe-8e72-4c58-92f9-c4bc04dd0866","BiosLog.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","OnStartup","","BIOS Log for Type Power"
"ProgressBiosLog","98e39715-108e-46a7-bf29-48a1c791f7c2","BiosLog.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","BIOS Log for Type Progress"
"ThermalBiosLog","c62cc6d9-6f9c-478f-bf98-e72f6c8f717c","BiosLog.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","BIOS Log for Type Thermal"
"BiosLedBiosLog","9b81ea78-315c-4986-8cfe-a01ed0958bb7","BiosLog.proto","BIOS","Dormant","EventBased","Changeable","01 d 00 hr 00 min 00 sec","00 d 00 hr 00 min 15 sec","Enabled","Midday","","BIOS Log for Type BIOS Led"
